settlement_adoption_share,target_year,criterion,total_post2183_cdr_gtco2_yr,illustrative_cdr_unit_cost_usd_per_tco2,annual_cdr_cost_usd_tn,gross_settlement_revenue_envelope_usd_tn,cdr_cost_share_of_envelope,within_gross_envelope
1.0,2200,absolute_280_median,32.587924,100,3.2587924000000004,6.6126,0.4928155944711612,True
1.0,2200,absolute_280_median,32.587924,200,6.517584800000001,6.6126,0.9856311889423224,True
1.0,2200,absolute_280_median,32.587924,400,13.035169600000001,6.6126,1.9712623778846448,False
1.0,2300,absolute_280_median,9.642612,100,0.9642611999999999,6.6126,0.14582179475546683,True
1.0,2300,absolute_280_median,9.642612,200,1.9285223999999999,6.6126,0.29164358951093367,True
1.0,2300,absolute_280_median,9.642612,400,3.8570447999999997,6.6126,0.5832871790218673,True
1.0,2400,absolute_280_median,7.060581,100,0.7060581,6.6126,0.10677465747209873,True
1.0,2400,absolute_280_median,7.060581,200,1.4121162,6.6126,0.21354931494419746,True
1.0,2400,absolute_280_median,7.060581,400,2.8242324,6.6126,0.4270986298883949,True
0.9,2200,absolute_280_median,32.587924,100,3.2587924000000004,5.95134,0.5475728827457347,True
0.9,2200,absolute_280_median,32.587924,200,6.517584800000001,5.95134,1.0951457654914694,False
0.9,2200,absolute_280_median,32.587924,400,13.035169600000001,5.95134,2.1902915309829387,False
0.9,2300,absolute_280_median,9.642612,100,0.9642611999999999,5.95134,0.16202421639496314,True
0.9,2300,absolute_280_median,9.642612,200,1.9285223999999999,5.95134,0.3240484327899263,True
0.9,2300,absolute_280_median,9.642612,400,3.8570447999999997,5.95134,0.6480968655798526,True
0.9,2400,absolute_280_median,7.060581,100,0.7060581,5.95134,0.11863850830233191,True
0.9,2400,absolute_280_median,7.060581,200,1.4121162,5.95134,0.23727701660466383,True
0.9,2400,absolute_280_median,7.060581,400,2.8242324,5.95134,0.47455403320932765,True
0.75,2200,absolute_280_median,32.587924,100,3.2587924000000004,4.9594499999999995,0.6570874592948817,True
0.75,2200,absolute_280_median,32.587924,200,6.517584800000001,4.9594499999999995,1.3141749185897633,False
0.75,2200,absolute_280_median,32.587924,400,13.035169600000001,4.9594499999999995,2.6283498371795266,False
0.75,2300,absolute_280_median,9.642612,100,0.9642611999999999,4.9594499999999995,0.1944290596739558,True
0.75,2300,absolute_280_median,9.642612,200,1.9285223999999999,4.9594499999999995,0.3888581193479116,True
0.75,2300,absolute_280_median,9.642612,400,3.8570447999999997,4.9594499999999995,0.7777162386958232,True
0.75,2400,absolute_280_median,7.060581,100,0.7060581,4.9594499999999995,0.1423662099627983,True
0.75,2400,absolute_280_median,7.060581,200,1.4121162,4.9594499999999995,0.2847324199255966,True
0.75,2400,absolute_280_median,7.060581,400,2.8242324,4.9594499999999995,0.5694648398511932,True
0.5,2200,absolute_280_median,32.587924,100,3.2587924000000004,3.3063,0.9856311889423224,True
0.5,2200,absolute_280_median,32.587924,200,6.517584800000001,3.3063,1.9712623778846448,False
0.5,2200,absolute_280_median,32.587924,400,13.035169600000001,3.3063,3.9425247557692895,False
0.5,2300,absolute_280_median,9.642612,100,0.9642611999999999,3.3063,0.29164358951093367,True
0.5,2300,absolute_280_median,9.642612,200,1.9285223999999999,3.3063,0.5832871790218673,True
0.5,2300,absolute_280_median,9.642612,400,3.8570447999999997,3.3063,1.1665743580437347,False
0.5,2400,absolute_280_median,7.060581,100,0.7060581,3.3063,0.21354931494419746,True
0.5,2400,absolute_280_median,7.060581,200,1.4121162,3.3063,0.4270986298883949,True
0.5,2400,absolute_280_median,7.060581,400,2.8242324,3.3063,0.8541972597767898,True
